"cod_item_dp","cod_prodfriday","cantidad","precio","cod_estado_item_dp","cod_dp"
IDP1,CSF1000003,1.00,40.00,EP,DP1
IDP2,BS10000003,1.00,38.00,EP,DP1
IDP3,BS10000003,2.00,76.00,EP,DP2
IDP4,APP1000001,1.00,37.00,EP,DP1
IDP5,APP1000002,2.00,44.00,EP,DP1
IDP6,APP1000003,3.00,120.00,EP,DP2
IDP7,APP1000004,1.00,36.00,EP,DP2
IDP8,PAS1000001,2.00,80.00,EP,DP3
IDP9,PAS1000002,1.00,40.00,EP,DP3
IDP10,PAS1000003,3.00,126.00,EP,DP4
IDP11,PAS1000004,1.00,40.00,EP,DP4
IDP12,SAL1000001,2.00,56.00,EP,DP5
IDP13,SAL1000002,1.00,35.00,EP,DP5
IDP14,SAL1000003,1.00,40.00,EP,DP6
IDP15,SAL1000004,3.00,117.00,EP,DP6
IDP16,CSF1000001,1.00,35.00,EP,DP7
IDP17,CSF1000002,2.00,60.00,EP,DP7
IDP18,CSF1000003,2.00,96.00,EP,DP8
IDP19,CSF1000004,3.00,120.00,EP,DP8
IDP20,POS1000001,1.00,27.00,EP,DP9
IDP21,POS1000002,2.00,50.00,EP,DP9
IDP22,POS1000003,1.00,27.00,EP,DP10
IDP23,POS1000004,1.00,28.00,EP,DP10
IDP24,BS10000001,2.00,72.00,EP,DP11
IDP25,BS10000002,1.00,32.00,EP,DP11
IDP26,BS10000003,3.00,114.00,EP,DP12
IDP27,BS10000004,2.00,78.00,EP,DP12
IDP28,BEV1000001,2.00,20.00,EP,DP13
IDP29,BEV1000002,1.00,14.00,EP,DP13
IDP30,BEV1000003,3.00,45.00,EP,DP14
IDP31,BEV1000004,2.00,18.00,EP,DP14
IDP32,COC1000001,2.00,36.00,EP,DP15
IDP33,COC1000002,1.00,30.00,EP,DP15
IDP34,COC1000003,3.00,78.00,EP,DP16
IDP35,COC1000004,2.00,40.00,EP,DP16
IDP36,APP1000001,2.00,74.00,EP,DP17
IDP37,APP1000002,1.00,22.00,EP,DP17
IDP38,APP1000003,3.00,120.00,EP,DP18
IDP39,APP1000004,2.00,72.00,EP,DP18
IDP40,PAS1000001,1.00,40.00,EP,DP19
IDP41,PAS1000002,3.00,120.00,EP,DP19
IDP42,PAS1000003,1.00,42.00,EP,DP20
IDP43,PAS1000004,2.00,80.00,EP,DP20
IDP44,SAL1000001,2.00,56.00,EP,DP21
IDP45,SAL1000002,1.00,35.00,EP,DP21
IDP46,SAL1000003,3.00,120.00,EP,DP22
IDP47,SAL1000004,1.00,39.00,EP,DP22
IDP48,CSF1000001,3.00,105.00,EP,DP23
IDP49,CSF1000002,2.00,60.00,EP,DP23
IDP50,CSF1000003,2.00,96.00,EP,DP24
